Advertiser,Advertiser Name,Region,Region Name,Imps,Clicks,"CTR, %",Conversions,User Purchase,Actual Adv Payout
182,ZIPRECRUITER-MDG-TRADR,US-ID,Idaho,8242,0,0,224,0,172.478
358,VISITDENVER,US-NC,North Carolina,8244,35,0.42,42,0,68.752
382,FILSON,US-AL,Alabama,8245,220,2.67,74,748.61,193.601
345,NORTHERNLIGHTSHEALTH-KARSHHAGAN,US-ME,Maine,8245,119,1.44,36,0,115.993
358,VISITDENVER,US-NV,Nevada,8248,43,0.52,68,0,47.006
358,VISITDENVER,US-NC,North Carolina,8249,41,0.5,55,0,54.365
358,VISITDENVER,US-CO,Colorado,8253,10,0.12,10,0,53.501
358,VISITDENVER,US-CO,Colorado,8262,15,0.18,19,0,47.856
358,VISITDENVER,US-CA,California,8264,26,0.31,31,0,41.924
174,POSITEC-WORX-TRADR,US-WA,Washington,8265,100,1.22,169,0,65.594
49,FJALLRAVEN,US-IA,Iowa,8266,323,3.91,171,3472.85,80.576
358,VISITDENVER,US-MA,Massachusetts,8266,22,0.27,32,0,33.38
358,VISITDENVER,US-MI,Michigan,8266,28,0.34,48,0,37.841
358,VISITDENVER,US-IN,Indiana,8267,38,0.46,59,0,40.852
174,POSITEC-WORX-TRADR,US-CA,California,8270,137,1.66,163,0,37.591
252,SMARTBIZ-MDG-TRADR,US-NE,Nebraska,8273,48,0.58,49,0,152.169
274,BOBOS,US-OR,Oregon,8275,81,0.98,70,417.73,58.214
49,FJALLRAVEN,US-NJ,New Jersey,8278,891,10.76,342,4437.92,76.524
252,SMARTBIZ-MDG-TRADR,US-AZ,Arizona,8279,28,0.34,52,0,190.093
182,ZIPRECRUITER-MDG-TRADR,US-NM,New Mexico,8280,0,0,161,0,176.645
358,VISITDENVER,US-NY,New York,8280,18,0.22,38,0,58.684
388,CAT CANADA,CA-QC,Quebec,8280,42,0.51,26,0,56.876
358,VISITDENVER,US-TX,Texas,8280,30,0.36,50,0,50.103
174,POSITEC-WORX-TRADR,US-FL,Florida,8282,307,3.7,326,3275.73,71.842
358,VISITDENVER,US-NY,New York,8282,13,0.16,24,0,77.166
358,VISITDENVER,US-MN,Minnesota,8287,24,0.29,50,0,57.83
358,VISITDENVER,US-AZ,Arizona,8289,50,0.6,67,0,48.709
358,VISITDENVER,US-KS,Kansas,8292,27,0.33,34,0,46.394
174,POSITEC-WORX-TRADR,US-NE,Nebraska,8293,121,1.46,191,635.85,49.898
274,BOBOS,US-TX,Texas,8294,19,0.23,14,0,74.61
216,ROYAL ROBBINS,US-PA,Pennsylvania,8295,404,4.87,433,540.44,54.529
174,POSITEC-WORX-TRADR,US-HI,Hawaii,8297,68,0.82,175,820.6,63.543
358,VISITDENVER,US-LA,Louisiana,8303,37,0.45,82,0,79.718
49,FJALLRAVEN,US-CA,California,8304,294,3.54,115,2023.46,70.489
