Advertiser,Advertiser Name,Region,Region Name,Imps,Clicks
356,STARFACE-MDG-TRADR,US-KY,Kentucky,8434,42
252,SMARTBIZ-MDG-TRADR,US-IN,Indiana,8438,19
174,POSITEC-WORX-TRADR,US-NY,New York,8438,82
174,POSITEC-WORX-TRADR,US-CA,California,8444,72
358,VISITDENVER,US-MA,Massachusetts,8445,35
382,FILSON,US-WY,Wyoming,8445,171
358,VISITDENVER,US-GA,Georgia,8449,24
182,ZIPRECRUITER-MDG-TRADR,US-FL,Florida,8451,0
358,VISITDENVER,US-NJ,New Jersey,8455,20
174,POSITEC-WORX-TRADR,US-OK,Oklahoma,8461,190
358,VISITDENVER,US-NV,Nevada,8465,40
49,FJALLRAVEN,CA-ON,Ontario,8465,793
358,VISITDENVER,US-MA,Massachusetts,8467,42
174,POSITEC-WORX-TRADR,US-MO,Missouri,8472,270
325,STAUD,US-NY,New York,8476,1104
358,VISITDENVER,US-TX,Texas,8478,28
382,FILSON,US-FL,Florida,8480,746
358,VISITDENVER,US-IL,Illinois,8480,31
358,VISITDENVER,US-WI,Wisconsin,8480,31
382,FILSON,US-SC,South Carolina,8484,309
358,VISITDENVER,US-FL,Florida,8485,54
182,ZIPRECRUITER-MDG-TRADR,US-GA,Georgia,8487,0
358,VISITDENVER,US-OH,Ohio,8488,33
358,VISITDENVER,US-CA,California,8489,31
358,VISITDENVER,US-PA,Pennsylvania,8490,37
49,FJALLRAVEN,US-CO,Colorado,8491,119
358,VISITDENVER,US-MD,Maryland,8491,20
358,VISITDENVER,US-GA,Georgia,8495,46
358,VISITDENVER,US-PA,Pennsylvania,8506,47
382,FILSON,US-CA,California,8507,274
252,SMARTBIZ-MDG-TRADR,US-FL,Florida,8508,31
358,VISITDENVER,US-NC,North Carolina,8509,32
252,SMARTBIZ-MDG-TRADR,US-VA,Virginia,8513,38
351,PINNACLEBANK&BOC-KARSHHAGAN,US-NE,Nebraska,8514,32
298,ANON,US-WA,Washington,8515,30
351,PINNACLEBANK&BOC-KARSHHAGAN,US-CO,Colorado,8518,36
182,ZIPRECRUITER-MDG-TRADR,US-FL,Florida,8518,0
382,FILSON,US-KY,Kentucky,8519,456
345,NORTHERNLIGHTSHEALTH-KARSHHAGAN,US-NH,New Hampshire,8519,126
358,VISITDENVER,US-ME,Maine,8521,21
358,VISITDENVER,US-SC,South Carolina,8526,33
358,VISITDENVER,US-FL,Florida,8527,57
358,VISITDENVER,US-LA,Louisiana,8536,40
358,VISITDENVER,US-OR,Oregon,8537,22
364,SCOOTER-KARSHHAGAN,US-IA,Iowa,8539,67
358,VISITDENVER,US-CA,California,8542,36
358,VISITDENVER,US-KS,Kansas,8552,27
358,VISITDENVER,US-KY,Kentucky,8554,35
358,VISITDENVER,US-NJ,New Jersey,8555,20
358,VISITDENVER,US-OH,Ohio,8570,32
358,VISITDENVER,US-PA,Pennsylvania,8571,27
358,VISITDENVER,US-IL,Illinois,8573,24
49,FJALLRAVEN,US-VA,Virginia,8574,382
358,VISITDENVER,US-CA,California,8575,43
174,POSITEC-WORX-TRADR,US-NE,Nebraska,8577,39
381,MODERNTREASURY-MDG-TRADR,US-NC,North Carolina,8581,64
358,VISITDENVER,US-CT,Connecticut,8584,34
382,FILSON,US-LA,Louisiana,8585,376
174,POSITEC-WORX-TRADR,US-VA,Virginia,8587,406
358,VISITDENVER,US-MD,Maryland,8589,44
182,ZIPRECRUITER-MDG-TRADR,US-WA,Washington,8589,1
358,VISITDENVER,US-MO,Missouri,8592,54
358,VISITDENVER,US-OH,Ohio,8600,35
381,MODERNTREASURY-MDG-TRADR,US-DC,District of Columbia,8603,142
358,VISITDENVER,US-IN,Indiana,8603,30
274,BOBOS,US-KS,Kansas,8604,90
358,VISITDENVER,US-TN,Tennessee,8607,60
358,VISITDENVER,US-OH,Ohio,8608,35
358,VISITDENVER,US-NY,New York,8610,25
358,VISITDENVER,US-MI,Michigan,8611,26
381,MODERNTREASURY-MDG-TRADR,US-NJ,New Jersey,8614,94
358,VISITDENVER,US-IL,Illinois,8615,27
358,VISITDENVER,US-CA,California,8616,29
182,ZIPRECRUITER-MDG-TRADR,US-LA,Louisiana,8616,0
388,CAT CANADA,CA-ON,Ontario,8616,40
358,VISITDENVER,US-CT,Connecticut,8622,36
49,FJALLRAVEN,US-VA,Virginia,8624,607
358,VISITDENVER,US-KS,Kansas,8625,39
381,MODERNTREASURY-MDG-TRADR,US-FL,Florida,8626,95
358,VISITDENVER,US-HI,Hawaii,8629,16
358,VISITDENVER,US-PA,Pennsylvania,8631,38
345,NORTHERNLIGHTSHEALTH-KARSHHAGAN,US-ME,Maine,8633,57
358,VISITDENVER,US-NC,North Carolina,8633,18
351,PINNACLEBANK&BOC-KARSHHAGAN,US-NE,Nebraska,8635,10
256,SHEEX-MDG-TRADR,US-FL,Florida,8636,310
358,VISITDENVER,US-FL,Florida,8637,45
256,SHEEX-MDG-TRADR,US-FL,Florida,8640,216
382,FILSON,US-TX,Texas,8643,313
358,VISITDENVER,US-KS,Kansas,8644,32
256,SHEEX-MDG-TRADR,US-AZ,Arizona,8647,188
358,VISITDENVER,US-TX,Texas,8647,18
252,SMARTBIZ-MDG-TRADR,US-FL,Florida,8650,20
274,BOBOS,US-OH,Ohio,8650,117
358,VISITDENVER,US-ME,Maine,8651,11
358,VISITDENVER,US-PA,Pennsylvania,8654,33
174,POSITEC-WORX-TRADR,US-OR,Oregon,8656,105
364,SCOOTER-KARSHHAGAN,US-TX,Texas,8658,127
358,VISITDENVER,US-PA,Pennsylvania,8661,42
356,STARFACE-MDG-TRADR,US-CA,California,8662,107
358,VISITDENVER,US-FL,Florida,8663,47
358,VISITDENVER,US-AK,Alaska,8667,23
325,STAUD,US-CA,California,8668,617
358,VISITDENVER,US-NJ,New Jersey,8669,21
274,BOBOS,US-CA,California,8670,62
358,VISITDENVER,US-TN,Tennessee,8670,39
358,VISITDENVER,US-WA,Washington,8672,19
358,VISITDENVER,US-IN,Indiana,8674,40
358,VISITDENVER,US-WA,Washington,8675,31
358,VISITDENVER,US-CT,Connecticut,8678,24
252,SMARTBIZ-MDG-TRADR,US-TX,Texas,8680,10
358,VISITDENVER,US-CO,Colorado,8683,14
358,VISITDENVER,US-SC,South Carolina,8684,46
174,POSITEC-WORX-TRADR,US-OH,Ohio,8687,341
358,VISITDENVER,US-WI,Wisconsin,8692,27
274,BOBOS,US-IA,Iowa,8694,137
174,POSITEC-WORX-TRADR,US-NV,Nevada,8701,139
356,STARFACE-MDG-TRADR,US-OH,Ohio,8702,71
182,ZIPRECRUITER-MDG-TRADR,US-FL,Florida,8703,0
358,VISITDENVER,US-WV,West Virginia,8704,41
358,VISITDENVER,US-GA,Georgia,8706,39
382,FILSON,US-OH,Ohio,8710,368
358,VISITDENVER,US-CA,California,8717,31
358,VISITDENVER,US-ME,Maine,8720,35
358,VISITDENVER,US-TN,Tennessee,8720,44
174,POSITEC-WORX-TRADR,US-TX,Texas,8720,289
326,7Mesh,CA-AB,Alberta,8730,513
298,ANON,US-NY,New York,8731,68
358,VISITDENVER,US-NY,New York,8733,17
358,VISITDENVER,US-LA,Louisiana,8734,30
252,SMARTBIZ-MDG-TRADR,US-FL,Florida,8740,19
382,FILSON,US-NV,Nevada,8741,392
49,FJALLRAVEN,US-MA,Massachusetts,8742,840
358,VISITDENVER,US-MA,Massachusetts,8743,36
358,VISITDENVER,US-AL,Alabama,8745,27
216,ROYAL ROBBINS,US-NV,Nevada,8748,139
358,VISITDENVER,US-NY,New York,8749,29
358,VISITDENVER,US-NY,New York,8750,27
174,POSITEC-WORX-TRADR,US-TX,Texas,8750,245
49,FJALLRAVEN,US-CA,California,8754,62
358,VISITDENVER,US-CA,California,8755,28
358,VISITDENVER,US-CA,California,8760,43
358,VISITDENVER,US-NE,Nebraska,8760,40
256,SHEEX-MDG-TRADR,US-FL,Florida,8763,218
358,VISITDENVER,US-UT,Utah,8763,39
358,VISITDENVER,US-MA,Massachusetts,8768,33
358,VISITDENVER,US-OK,Oklahoma,8776,10
388,CAT CANADA,CA-AB,Alberta,8781,32
345,NORTHERNLIGHTSHEALTH-KARSHHAGAN,US-ME,Maine,8781,129
274,BOBOS,US-AZ,Arizona,8782,112
351,PINNACLEBANK&BOC-KARSHHAGAN,US-AZ,Arizona,8782,1126
381,MODERNTREASURY-MDG-TRADR,US-NC,North Carolina,8782,47
358,VISITDENVER,US-MI,Michigan,8785,37
358,VISITDENVER,US-IN,Indiana,8789,24
349,WINE ENTHUSIAST,US-WA,Washington,8789,30
358,VISITDENVER,US-WV,West Virginia,8790,37
49,FJALLRAVEN,US-CA,California,8793,341
358,VISITDENVER,US-IN,Indiana,8796,40
358,VISITDENVER,US-IA,Iowa,8796,42
349,WINE ENTHUSIAST,US-WA,Washington,8797,19
358,VISITDENVER,US-TX,Texas,8799,32
252,SMARTBIZ-MDG-TRADR,US-CA,California,8802,51
382,FILSON,US-NC,North Carolina,8802,321
325,STAUD,US-FL,Florida,8803,581
358,VISITDENVER,US-WI,Wisconsin,8811,33
182,ZIPRECRUITER-MDG-TRADR,US-MT,Montana,8817,0
381,MODERNTREASURY-MDG-TRADR,US-VA,Virginia,8819,76
358,VISITDENVER,US-OH,Ohio,8821,34
358,VISITDENVER,US-VT,Vermont,8821,31
358,VISITDENVER,US-PA,Pennsylvania,8822,33
359,THEGREAT,US-TX,Texas,8822,854
358,VISITDENVER,US-CT,Connecticut,8825,15
252,SMARTBIZ-MDG-TRADR,US-WA,Washington,8827,43
174,POSITEC-WORX-TRADR,US-VA,Virginia,8830,355
381,MODERNTREASURY-MDG-TRADR,US-WA,Washington,8830,49
345,NORTHERNLIGHTSHEALTH-KARSHHAGAN,US-NH,New Hampshire,8831,141
358,VISITDENVER,US-NJ,New Jersey,8833,19
358,VISITDENVER,US-OR,Oregon,8834,41
358,VISITDENVER,US-VT,Vermont,8843,26
358,VISITDENVER,US-CA,California,8848,12
358,VISITDENVER,US-NJ,New Jersey,8859,19
358,VISITDENVER,US-NJ,New Jersey,8859,23
358,VISITDENVER,US-GA,Georgia,8860,31
345,NORTHERNLIGHTSHEALTH-KARSHHAGAN,US-ME,Maine,8862,96
358,VISITDENVER,US-MN,Minnesota,8871,28
358,VISITDENVER,US-NY,New York,8874,27
358,VISITDENVER,US-OK,Oklahoma,8876,36
381,MODERNTREASURY-MDG-TRADR,US-NV,Nevada,8883,54
358,VISITDENVER,US-NJ,New Jersey,8883,23
256,SHEEX-MDG-TRADR,US-MD,Maryland,8891,341
256,SHEEX-MDG-TRADR,US-AZ,Arizona,8894,265
358,VISITDENVER,US-OH,Ohio,8894,41
358,VISITDENVER,US-MI,Michigan,8899,41
358,VISITDENVER,US-WI,Wisconsin,8905,34
356,STARFACE-MDG-TRADR,US-TX,Texas,8911,42
182,ZIPRECRUITER-MDG-TRADR,US-IN,Indiana,8912,0
358,VISITDENVER,US-PA,Pennsylvania,8914,52
358,VISITDENVER,US-NC,North Carolina,8917,26
358,VISITDENVER,US-RI,Rhode Island,8920,49
252,SMARTBIZ-MDG-TRADR,US-TX,Texas,8921,17
295,BENCHMADE,US-AZ,Arizona,8926,11
358,VISITDENVER,US-PA,Pennsylvania,8928,40
252,SMARTBIZ-MDG-TRADR,US-NY,New York,8931,54
349,WINE ENTHUSIAST,US-CO,Colorado,8932,16
364,SCOOTER-KARSHHAGAN,US-IA,Iowa,8944,67
182,ZIPRECRUITER-MDG-TRADR,US-ND,North Dakota,8948,0
358,VISITDENVER,US-VA,Virginia,8950,18
174,POSITEC-WORX-TRADR,US-CA,California,8951,172
49,FJALLRAVEN,US-RI,Rhode Island,8951,508
381,MODERNTREASURY-MDG-TRADR,US-FL,Florida,8955,62
358,VISITDENVER,US-HI,Hawaii,8956,19
358,VISITDENVER,US-FL,Florida,8959,37
358,VISITDENVER,US-MN,Minnesota,8965,46
381,MODERNTREASURY-MDG-TRADR,US-MD,Maryland,8966,110
358,VISITDENVER,US-MD,Maryland,8968,46
382,FILSON,US-OH,Ohio,8968,173
252,SMARTBIZ-MDG-TRADR,US-OH,Ohio,8968,32
358,VISITDENVER,US-WA,Washington,8969,33
382,FILSON,US-VA,Virginia,8970,245
358,VISITDENVER,US-NJ,New Jersey,8976,28
358,VISITDENVER,US-WY,Wyoming,8977,18
349,WINE ENTHUSIAST,US-CA,California,8980,15
358,VISITDENVER,US-TN,Tennessee,8982,34
256,SHEEX-MDG-TRADR,US-WA,Washington,8982,200
358,VISITDENVER,US-NJ,New Jersey,8986,28
358,VISITDENVER,US-NY,New York,8986,20
349,WINE ENTHUSIAST,US-CA,California,8992,14
358,VISITDENVER,US-ME,Maine,8993,28
382,FILSON,US-TX,Texas,8996,222
382,FILSON,US-CA,California,8997,886
256,SHEEX-MDG-TRADR,US-FL,Florida,8999,279
358,VISITDENVER,US-IL,Illinois,9002,33
174,POSITEC-WORX-TRADR,US-CA,California,9003,96
358,VISITDENVER,US-NC,North Carolina,9003,33
358,VISITDENVER,US-OH,Ohio,9009,46
358,VISITDENVER,US-NY,New York,9017,7
182,ZIPRECRUITER-MDG-TRADR,US-NY,New York,9020,1
358,VISITDENVER,US-PA,Pennsylvania,9022,44
